item_id,category,category_name,item_name,metric_hint,priority,priority_reason,duplicate_of
B.4.1.2,B,性能・拡張性,HWリソース専有要否,専有必須／仮想共有可,高,クラウド利用可否・機器調達方針という基盤選定を左右するため,
C.1.1.1,C,運用・保守性,サービス提供時間,24h365d／平日のみ 等,高,運用シフト・監視時間帯設計の前提となるため（A.1.1.1と重複項目）,A.1.1.1
C.1.1.2,C,運用・保守性,運用・監視時間帯,24時間有人／夜間無人（自動通報） 等,高,運用体制の人員計画とオンコール設計を直接決定するため,
C.1.2.1,C,運用・保守性,ドキュメント管理要件,更新ルールあり／版管理必須 等,低,成果物管理のルールであり設計内容への波及が小さいため（A.2.6.2と重複項目）,A.2.6.2
C.1.2.5,C,運用・保守性,バックアップ取得間隔,日次／時間毎／リアルタイム,高,RPO達成可否とストレージ設計・ジョブ設計を直接決定するため,
C.1.2.7,C,運用・保守性,ヘルプデスク要件,あり／なし,低,体制の付加要素のため（A.2.6.1と重複項目）,A.2.6.1
C.1.3.1,C,運用・保守性,ジョブ監視方式,ジョブ管理ツール／cron＋通知 等,中,ジョブ設計に影響するが監視基盤全体は他項目で決まるため,
C.1.3.2,C,運用・保守性,死活監視方式,ping／プロセス監視／URL監視 等,高,障害検知の一次手段であり監視基盤選定とRTO達成に直結するため,
C.1.3.3,C,運用・保守性,性能・負荷監視方式,APM／メトリクス監視 等,中,性能SLI測定に必要だが基盤は死活監視と共通化できるため,
C.1.3.4,C,運用・保守性,リソース監視方式,CPU/メモリ/ディスク閾値監視 等,中,キャパシティ管理の入力であり標準的な設計で対応可能なため,
C.1.3.5,C,運用・保守性,障害監視方式,SNMPトラップ／イベント監視 等,高,インシデント対応フローの起点であり通知設計に直結するため,
C.1.3.6,C,運用・保守性,ログ監視方式,エラーログ監視／ログ集約基盤 等,中,ログ基盤設計に影響するが方式選択の自由度が高いため,
C.1.3.7,C,運用・保守性,セキュリティ監視方式,IDS/IPS／SIEM／WAFログ監視 等,高,セキュリティ運用体制（SOC/CSIRT連携）の要否と基盤選定を左右するため,
C.1.3.8,C,運用・保守性,クラウド構成監視方式,構成ドリフト検知／CSPM 等,中,クラウド利用時の付加的監視であり後続影響が限定的なため,
C.1.3.9,C,運用・保守性,外形監視方式,合成監視／エンドユーザー視点監視 等,中,SLO測定の精度向上策であり基盤構成を変えないため,
C.2.1.1,C,運用・保守性,フォールバック時の継続性,縮退運転で継続 等,中,障害時運用の詳細のため（A.1.1.3と重複項目）,A.1.1.3
C.2.1.2,C,運用・保守性,バックアップ世代数・保管期間,7世代／1年保管 等,中,ストレージ容量設計に影響するが方式はC.1.2.5に従属するため,
C.2.1.3,C,運用・保守性,バックアップ保管場所,同一DC／遠隔地／クラウド 等,中,DR方針（A.3.3.1）に従属して決まるため,
C.2.1.4,C,運用・保守性,リストア確認要件,年1回リストアテスト 等,中,定常運用計画に組み込む作業であり構成への影響が小さいため,
C.3.1.1,C,運用・保守性,計画停止要件,月次メンテナンス窓 等,中,保守計画の制約のため（A.4.1.1と重複項目）,A.4.1.1
C.3.2.1,C,運用・保守性,ジョブネット定義,ジョブ管理ツールで一元管理 等,中,バッチ設計に影響するが業務要件から導出されるため,
C.3.2.2,C,運用・保守性,ジョブエラー対応,自動リトライ／手動対応 等,中,運用手順の詳細設計項目のため,
C.3.2.3,C,運用・保守性,リラン方針,任意時点から再実行可 等,低,個別ジョブの実装詳細であり運用設計全体への影響が小さいため,
C.4.1.1,C,運用・保守性,パッチ適用方針,定期適用／緊急のみ 等,中,変更管理プロセスの設計に影響するため,
C.4.1.2,C,運用・保守性,パッチ適用窓,月次第3日曜 等,中,計画停止要件と連動する運用スケジュール項目のため,
C.4.1.3,C,運用・保守性,パッチ適用後テスト範囲,主要機能の疎通確認 等,低,手順書レベルの詳細であり設計への波及が小さいため,
C.5.1.1,C,運用・保守性,ログ取得粒度,アクセスログ＋操作ログ 等,中,ログ基盤の容量設計に影響するため,
C.5.1.2,C,運用・保守性,ログ保管期間,1年／5年（法令準拠） 等,高,法規制対応とストレージ・アーカイブ設計を直接決定するため,
C.5.1.3,C,運用・保守性,ログ分析要件,月次レポート／リアルタイム分析 等,低,付加的な活用要件であり基盤設計を変えないため,
C.6.1.1,C,運用・保守性,インシデント管理プロセス,ITSMツール／チケット管理 等,高,障害対応フロー・エスカレーション設計の中核となるため,
C.6.2.1,C,運用・保守性,問題管理プロセス,再発防止レビュー実施 等,中,インシデント管理に付随するプロセスのため,
C.6.3.1,C,運用・保守性,変更管理プロセス,CAB承認／簡易承認 等,中,リリース・パッチ運用の統制レベルを決めるため,
C.6.4.1,C,運用・保守性,リリース管理プロセス,定期リリース／随時 等,中,デプロイ運用の設計に影響するため,
C.6.5.1,C,運用・保守性,構成管理プロセス,CMDB管理／IaCで管理 等,中,運用ツール選定に影響するが後から改善可能なため,
C.6.6.1,C,運用・保守性,キャパシティ管理プロセス,月次レビュー 等,中,定常運用計画の項目であり枠組みは性能要件から決まるため,
C.6.7.1,C,運用・保守性,サービスレベル管理プロセス,月次SLA報告 等,中,報告運用の設計項目でありSLO定義に従属するため,
D.1.1.1,D,移行性,移行期限,YYYY-MM-DD まで 等,高,移行計画全体のクリティカルパスを決定するため,
D.1.1.2,D,移行性,移行方式（ビッグバン/段階的）,一括切替／段階移行,高,並行稼働要否・切戻し設計・体制計画を大きく左右するため,
D.1.1.3,D,移行性,移行中の許容停止時間,48時間以内／無停止 等,高,移行方式とツール選定を直接制約するため,
D.2.1.1,D,移行性,移行対象データ量・種類,DB 500GB＋ファイル1TB 等,中,移行作業の工数見積に影響するが方式は他項目で決まるため,
D.2.1.2,D,移行性,データクレンジング要否,要／不要,低,移行前作業の範囲であり運用設計への影響が小さいため,
D.3.1.1,D,移行性,並行稼働期間・方式,1ヶ月並行稼働 等,中,移行期間中の運用体制に影響するため,
D.3.2.1,D,移行性,切戻し手順,旧環境待機で切戻し可 等,中,移行リスク対策の設計項目のため,
E.1.1.1,E,セキュリティ,認証方式,パスワード／MFA／SSO 等,高,ID基盤・アカウント運用・外部連携の設計を根本から規定するため,
E.1.1.2,E,セキュリティ,多要素認証（MFA）要否,必須／管理者のみ／不要,高,認証基盤選定とユーザー影響が大きく後戻りコストが高いため,
E.1.1.3,E,セキュリティ,認可方式（RBAC等）,RBAC／ABAC 等,中,アプリ設計に影響するが運用設計への波及は権限棚卸等に限られるため,
E.1.1.4,E,セキュリティ,アクセスログ取得要件,全操作記録／ログイン記録のみ 等,中,ログ設計（C.5.1.x）と連動して決まるため,
E.2.1.1,E,セキュリティ,通信暗号化（TLS版等）,TLS1.2以上／全経路暗号化 等,高,ネットワーク設計・証明書運用の前提となり後付け変更が困難なため,
E.2.1.2,E,セキュリティ,保存データ暗号化,全データ暗号化／機微情報のみ 等,高,ストレージ・DB・鍵管理の設計を直接決定するため,
E.3.1.1,E,セキュリティ,脆弱性診断の頻度・種別,年1回／リリース毎 等,中,セキュリティ運用計画の項目であり構成への影響が小さいため,
E.3.1.2,E,セキュリティ,ペネトレーションテスト要否,要／不要,低,実施計画の付加項目であり運用設計の枠組みを変えないため,
E.4.1.1,E,セキュリティ,監査ログ取得要件,特権操作の全記録 等,中,ログ設計と監査対応の設計に影響するため,
E.4.1.2,E,セキュリティ,監査ログ保管期間・改ざん防止,3年保管・WORM 等,中,アーカイブ設計に影響するがログ基盤方針に従属するため,
E.5.1.1,E,セキュリティ,適用法規制・認証,個人情報保護法／GDPR／PCI DSS 等,高,準拠すべき統制要件が運用プロセス全体の必須要件を決めるため,
E.11.1.1,E,セキュリティ,CSIRTセキュリティインシデント対応体制,社内CSIRTあり／外部委託 等,中,セキュリティ運用体制の設計に影響するが段階的整備が可能なため,
F.1.1.1,F,システム環境・エコロジー,稼働環境（データセンター/クラウド）,パブリッククラウド／自社DC 等,高,基盤選定そのものであり全ての後続設計の前提となるため,
F.1.1.2,F,システム環境・エコロジー,電源・ネットワーク冗長化,電源二系統／回線冗長 等,中,ファシリティ要件であり稼働環境選定に従属するため,
F.2.1.1,F,システム環境・エコロジー,省エネ目標（PUE等）,PUE 1.5以下 等,低,環境配慮目標であり運用設計への直接影響が小さいため,
F.2.2.1,F,システム環境・エコロジー,ハードウェア廃棄・リサイクル方針,データ消去証明取得 等,低,ライフサイクル終期の要件であり初期運用設計への影響が小さいため,
